2021-06-13 10:29:21.616104 [47.106693333, 7.216835833] 36.29 1.1872934374527377 None 0 0 Started autonomous drive 
2021-06-13 10:29:28.768089 [47.106697, 7.2168435] 229.36 0.5308639582497677 (47.106653985807164, 7.216847330313385) -26.0 9.0 turn_to_on_spot 168.7516251035214 -60.60837489647861 2 
2021-06-13 10:29:28.869724 [47.106697, 7.2168435] 229.36 0.5308639582497677 (47.106653985807164, 7.216847330313385) -26.0 9.0 turn_to_on_spot 168.7516251035214 -60.60837489647861 2 
2021-06-13 10:29:28.971369 [47.106697, 7.2168435] 229.36 0.5308639582497677 (47.106653985807164, 7.216847330313385) -26.0 9.0 turn_to_on_spot 168.7516251035214 -60.60837489647861 2 
2021-06-13 10:29:29.073093 [47.106697167, 7.216843167] 229.36 0.04017866382746074 (47.106653985807164, 7.216847330313385) -26.0 9.0 turn_to_on_spot 168.7516251035214 -60.60837489647861 2 
2021-06-13 10:29:29.174938 [47.106697167, 7.216843167] 229.36 0.0 (47.106653985807164, 7.216847330313385) -26.0 9.0 turn_to_on_spot 168.7516251035214 -60.60837489647861 2 
2021-06-13 10:29:29.277571 [47.106697167, 7.216843167] 229.36 0.0 (47.106653985807164, 7.216847330313385) -26.0 9.0 turn_to_on_spot 168.7516251035214 -60.60837489647861 2 
2021-06-13 10:29:29.379789 [47.106697167, 7.216843167] 229.36 0.0 (47.106653985807164, 7.216847330313385) -26.0 9.0 turn_to_on_spot 168.7516251035214 -60.60837489647861 2 
2021-06-13 10:29:29.481856 [47.106697167, 7.216843167] 229.36 0.0 (47.106653985807164, 7.216847330313385) -26.0 9.0 turn_to_on_spot 168.7516251035214 -60.60837489647861 2 
2021-06-13 10:29:29.583458 [47.106697167, 7.216843167] 229.36 0.0 (47.106653985807164, 7.216847330313385) -26.0 9.0 turn_to_on_spot 168.7516251035214 -60.60837489647861 2 
2021-06-13 10:29:29.684968 [47.106697167, 7.216843167] 229.36 0.0 (47.106653985807164, 7.216847330313385) -26.0 9.0 turn_to_on_spot 168.7516251035214 -60.60837489647861 2 
2021-06-13 10:29:29.786583 [47.106697167, 7.216843167] 228.33 0.0 (47.106653985807164, 7.216847330313385) -25.0 8.0 turn_to_on_spot 168.7516251035214 -59.578374896478635 2 
2021-06-13 10:29:29.888236 [47.106697167, 7.216843167] 227.28 0.0 (47.106653985807164, 7.216847330313385) -25.0 8.0 turn_to_on_spot 168.7516251035214 -58.52837489647857 2 
2021-06-13 10:29:29.989835 [47.106697667, 7.216843667] 226.28 0.08526692029734209 (47.106653985807164, 7.216847330313385) -24.0 8.0 turn_to_on_spot 168.7516251035214 -57.52837489647857 2 
2021-06-13 10:29:30.091463 [47.106697667, 7.216843667] 226.28 0.08526692029734209 (47.106653985807164, 7.216847330313385) -24.0 8.0 turn_to_on_spot 168.7516251035214 -57.52837489647857 2 
2021-06-13 10:29:30.193418 [47.106697667, 7.216843667] 225.28 0.0 (47.106653985807164, 7.216847330313385) -23.0 8.0 turn_to_on_spot 168.7516251035214 -56.52837489647857 2 
2021-06-13 10:29:30.295595 [47.106697667, 7.216843667] 224.15 0.0 (47.106653985807164, 7.216847330313385) -23.0 8.0 turn_to_on_spot 168.7516251035214 -55.39837489647857 2 
2021-06-13 10:29:30.397359 [47.106697667, 7.216843667] 223.0 0.0 (47.106653985807164, 7.216847330313385) -22.0 7.0 turn_to_on_spot 168.7516251035214 -54.248374896478595 2 
